oid,x,y,d,theta,phi,true_d,,,
0,-5379.3,-6206.9,0.010765,0.40143,-2.9496,0.006548,,,
0,-5379.3,-5379.3,0.0066146,0.40143,-2.9496,0.0072632,,,
0,-5379.3,-4551.7,0.008412,0.40143,-2.9496,0.0078954,,,
0,-5379.3,-3724.1,0.0064835,0.40143,-2.9496,0.0083665,,,
0,-5379.3,-2896.6,0.010226,0.40143,-2.9496,0.0086015,,,
0,-5379.3,-2069,0.0092221,0.40143,-2.9496,0.0085509,,,
0,-5379.3,-1241.4,0.010845,0.40143,-2.9496,0.0082084,,,
0,-5379.3,-413.79,0.0041405,0.40143,-2.9496,0.0076158,,,
0,-5379.3,413.79,0.007119,0.40143,-2.9496,0.0068499,,,
0,-5379.3,1241.4,0.0062845,0.40143,-2.9496,0.0059994,,,
0,-5379.3,2069,0.003772,0.40143,-2.9496,0.0051434,,,
0,-5379.3,2896.6,-0.0020886,0.40143,-2.9496,0.0043386,,,
0,-5379.3,3724.1,0.00081922,0.40143,-2.9496,0.0036178,,,
0,-5379.3,4551.7,-0.0056596,0.40143,-2.9496,0.0029941,,,
0,-5379.3,5379.3,-0.003407,0.40143,-2.9496,0.002467,,,
0,-5379.3,6206.9,-0.0026725,0.40143,-2.9496,0.0020285,,,
0,-5379.3,7034.5,-0.0099279,0.40143,-2.9496,0.0016674,,,
0,-5379.3,7862.1,-0.010041,0.40143,-2.9496,0.0013719,,,
0,-5379.3,8689.7,-0.0044511,0.40143,-2.9496,0.0011305,,,
0,-5379.3,9517.2,-0.0021868,0.40143,-2.9496,0.00093364,,,
0,-5379.3,10345,-0.0046122,0.40143,-2.9496,0.00077284,,,
0,-5379.3,11172,-0.0055518,0.40143,-2.9496,0.00064125,,,
0,-5379.3,12000,0.0057908,0.40143,-2.9496,0.00053326,,,
0,-4551.7,-12000,0.0034183,0.40143,-2.9496,0.0030863,,,
0,-4551.7,-11172,-0.0046049,0.40143,-2.9496,0.0035815,,,
0,-4551.7,-10345,-0.00025164,0.40143,-2.9496,0.0041706,,,
0,-4551.7,-9517.2,-0.0013302,0.40143,-2.9496,0.0048679,,,
0,-4551.7,-8689.7,0.0019578,0.40143,-2.9496,0.0056853,,,
0,-4551.7,-7862.1,0.01611,0.40143,-2.9496,0.0066284,,,
0,-4551.7,-7034.5,0.011369,0.40143,-2.9496,0.0076887,,,
