oid,x,y,d,theta,phi,true_d,,,,
0,-7862.1,8689.7,0.0049302,0.54105,-0.19199,0.0041219,,,,
0,-7862.1,9517.2,0.0013523,0.54105,-0.19199,0.0035932,,,,
0,-7862.1,10345,-0.011028,0.54105,-0.19199,0.0031366,,,,
0,-7862.1,11172,-0.010964,0.54105,-0.19199,0.002743,,,,
0,-7862.1,12000,-0.0068863,0.54105,-0.19199,0.0024038,,,,
0,-7034.5,-12000,-0.0011868,0.54105,-0.19199,0.0061903,,,,
0,-7034.5,-11172,0.0029046,0.54105,-0.19199,0.0070357,,,,
0,-7034.5,-10345,0.004159,0.54105,-0.19199,0.0079971,,,,
0,-7034.5,-9517.2,0.011287,0.54105,-0.19199,0.0090789,,,,
0,-7034.5,-8689.7,0.010947,0.54105,-0.19199,0.010278,,,,
0,-7034.5,-7862.1,0.018709,0.54105,-0.19199,0.011579,,,,
0,-7034.5,-7034.5,0.015433,0.54105,-0.19199,0.012949,,,,
0,-7034.5,-6206.9,0.019362,0.54105,-0.19199,0.014333,,,,
0,-7034.5,-5379.3,0.023564,0.54105,-0.19199,0.015655,,,,
0,-7034.5,-4551.7,0.022687,0.54105,-0.19199,0.016815,,,,
0,-7034.5,-3724.1,0.030264,0.54105,-0.19199,0.017705,,,,
0,-7034.5,-2896.6,0.031163,0.54105,-0.19199,0.018226,,,,
0,-7034.5,-2069,0.026981,0.54105,-0.19199,0.01831,,,,
0,-7034.5,-1241.4,0.022053,0.54105,-0.19199,0.017938,,,,
0,-7034.5,-413.79,0.014407,0.54105,-0.19199,0.017146,,,,
0,-7034.5,413.79,0.020203,0.54105,-0.19199,0.016018,,,,
0,-7034.5,1241.4,0.016638,0.54105,-0.19199,0.014661,,,,
0,-7034.5,2069,0.015824,0.54105,-0.19199,0.01319,,,,
0,-7034.5,2896.6,0.0096134,0.54105,-0.19199,0.011701,,,,
0,-7034.5,3724.1,0.0042328,0.54105,-0.19199,0.010269,,,,
0,-7034.5,4551.7,0.0055188,0.54105,-0.19199,0.0089428,,,,
0,-7034.5,5379.3,-0.0029779,0.54105,-0.19199,0.0077463,,,,
0,-7034.5,6206.9,-0.0095539,0.54105,-0.19199,0.0066887,,,,
0,-7034.5,7034.5,-0.0010865,0.54105,-0.19199,0.0057668,,,,
0,-7034.5,7862.1,-0.00039978,0.54105,-0.19199,0.0049712,,,,
